,Anfang,Ende,RES,EE,Wechsel_EE-RES,Delta_t,Delta_E,LV_kurz,LV_lang,P_kurz,P_lang,Anteil_kurz,Anteil_lang
43,1248,1344,897235.1073283397,-1131.641775834747,1252,96,896103.465552505,1131.641775834747,898366.7491041744,11.787935164945281,9357.98696983515,0.0012580809341166516,0.9987419190658834
44,1344,1363,57464.9981750611,-4720.764697481882,1349,19,52744.23347757921,4720.764697481882,62185.76287254298,248.46129986746746,3272.934888028578,0.07055761028011945,0.9294423897198806
45,1363,1376,248.5993365835384,-22916.027938515323,1375,13,-22667.428601931784,248.5993365835384,-23164.62727509886,19.123025891041415,-1781.8944057768354,0.010617901612052729,0.9893820983879472
46,1376,1384,2579.103940886822,-784.6475408461811,1379,8,1794.4564000406408,784.6475408461811,3363.751481733003,98.08094260577263,420.46893521662537,0.18914466438147556,0.8108553356185244
47,1384,1408,78028.62072044256,-19912.79598171648,1396,24,58115.82473872608,19912.79598171648,97941.41670215904,829.69983257152,4080.89236258996,0.16896125754222524,0.8310387424577748
48,1408,1432,167414.96455597674,-1624.2606313340457,1412,24,165790.7039246427,1624.2606313340457,169039.22518731077,67.67752630558523,7043.301049471283,0.009517329518629795,0.9904826704813703
49,1432,1480,289884.42766418133,-50074.684242479925,1447,48,239809.74342170142,50074.684242479925,339959.11190666124,1043.2225883849985,7082.481498055443,0.12838550078704555,0.8716144992129545
50,1480,1504,89666.61061602889,-59523.388189263365,1496,24,30143.222426765526,59523.388189263365,149189.99880529224,2480.14117455264,6216.24995022051,0.285191999643109,0.7148080003568911
51,1504,1527,184119.69040107192,-1607.5898842094794,1505,23,182512.10051686244,1607.5898842094794,185727.2802852814,69.89521235693388,8075.099142838321,0.008581370263608775,0.9914186297363913
52,1527,1695,1263551.033806225,-152046.98249770797,1556,168,1111504.051308517,152046.98249770797,1415598.016303933,905.041562486357,8426.178668475792,0.09699069790286555,0.9030093020971345
53,1695,1700,4466.64261345661,-644.3926546292678,1696,5,3822.249958827342,644.3926546292678,5111.035268085878,128.87853092585357,1022.2070536171756,0.11196259657531651,0.8880374034246835
54,1700,1711,660.6586349517456,-11511.186475186427,1709,11,-10850.527840234681,660.6586349517456,-12171.845110138172,60.05987590470415,-1106.5313736489247,0.05148322167484521,0.9485167783251548
55,1711,1720,2417.734273979331,-4661.231779402613,1716,9,-2243.497505423282,2417.734273979331,-7078.966053381944,268.637141553259,-786.5517837091049,0.2545867712613309,0.7454132287386691
56,1720,1742,3984.860122746626,-66549.12858238338,1739,22,-62564.26845963675,3984.860122746626,-70533.98870513,181.1300055793921,-3206.0903956877273,0.05347452604844771,0.9465254739515523
57,1742,1768,25458.034682584483,-154752.43286262124,1761,26,-129294.39818003675,25458.034682584483,-180210.46754520573,979.1551800994032,-6931.171828661759,0.12378188398721443,0.8762181160127855
58,1768,1898,1041209.441667791,-31389.585721446052,1775,130,1009819.8559463449,31389.585721446052,1072599.027389237,241.45835170343116,8250.761749147976,0.028432889025005747,0.9715671109749944
59,1898,1911,54916.722788767875,-2587.4039119865793,1904,13,52329.3188767813,2587.4039119865793,57504.12670075445,199.03107015281378,4423.394361596496,0.04305771355136658,0.9569422864486334
60,1911,2078,1599905.5824213037,-17026.32107545284,1924,167,1582879.2613458508,17026.32107545284,1616931.9034967567,101.95401841588527,9682.226967046447,0.010420291546872651,0.9895797084531273
61,2078,2082,2217.382037242134,-200.59509054501723,2079,4,2016.786946697117,200.59509054501723,2417.9771277871514,50.14877263625431,604.4942819467879,0.07660475779154988,0.9233952422084502
62,2082,2111,95660.14111227525,-10050.05543220331,2091,29,85610.08568007193,10050.05543220331,105710.19654447856,346.55363559321756,3645.179191188916,0.08681784343582578,0.9131821565641742
63,2111,2153,177289.36507796016,-2043.0890397361036,2117,42,175246.27603822405,2043.0890397361036,179332.45411769627,48.64497713657389,4269.820336135625,0.011264413074494394,0.9887355869255056
64,2153,2177,94970.53166638853,-43013.1413096051,2166,24,51957.390356783435,43013.1413096051,137983.67297599363,1792.2142212335457,5749.3197073330675,0.2376458474110696,0.7623541525889304
65,2177,2275,735579.6620948917,-1447.8320919843627,2180,98,734131.8300029073,1447.8320919843627,737027.494186876,14.773796856983292,7520.688716192612,0.0019605693520999747,0.9980394306479
66,2275,2295,69245.96264584236,-21133.988869722438,2288,20,48111.97377611992,21133.988869722438,90379.9515155648,1056.699443486122,4518.9975757782395,0.18951880631877288,0.8104811936812271
67,2295,2321,96762.33367525009,-34589.48568273695,2310,26,62172.84799251314,34589.48568273695,131351.81935798703,1330.3648339514211,5051.99305223027,0.2084440981963368,0.7915559018036631
68,2321,2344,48890.64202663629,-41825.43482704098,2336,23,7065.207199595308,41825.43482704098,90716.07685367728,1818.4971663930862,3944.177254507708,0.3155647939778675,0.6844352060221324
69,2344,2392,512589.99310079234,-14390.642092894417,2348,48,498199.35100789793,14390.642092894417,526980.6351936868,299.80504360196704,10978.76323320181,0.026581835233339433,0.9734181647666605
70,2392,2416,127705.21465595964,-43208.42924836575,2406,24,84496.7854075939,43208.42924836575,170913.64390432538,1800.3512186819062,7121.401829346891,0.20179343779075817,0.7982065622092418
71,2416,2465,344200.33070780576,-57468.87801112721,2430,49,286731.4526966785,57468.87801112721,401669.208718933,1172.834245125045,8197.330790182306,0.1251668717365953,0.8748331282634046
72,2465,2512,383101.3844834172,-50769.410411032106,2472,47,332331.9740723851,50769.410411032106,433870.7948944493,1080.2002215113214,9231.293508392539,0.1047569100855568,0.8952430899144432
73,2512,2536,113097.58409798169,-88854.12509246003,2527,24,24243.459005521654,88854.12509246003,201951.7091904417,3702.255212185835,8414.654549601737,0.3055445063939844,0.6944554936060157
74,2536,2544,1498.17905807048,-25758.83772956024,2543,8,-24260.65867148976,1498.17905807048,-27257.01678763072,187.27238225881,-3407.12709845384,0.05210115994721881,0.9478988400527812
