,0
2013-12-06,193631.33709072717
2013-12-07,-889332.0822659184
2013-12-08,110900.15944988845
2013-12-09,-1374154.6667180574
2013-12-10,-2404123.941482311
2013-12-11,-2819801.0145097426
2013-12-12,-2046478.611453168
2013-12-13,-2133020.56568785
2013-12-14,-867090.8990460911
2013-12-15,-20360.141599200124
2013-12-16,-193785.95181336117
2013-12-17,-2233085.4328236454
2013-12-18,-890423.8826045138
2013-12-19,-708337.5418741691
2013-12-20,-546511.3241662929
2013-12-21,264250.17203096795
2013-12-22,248646.54449029008
2013-12-23,264199.11994800105
2013-12-24,223625.3806577129
2013-12-25,-295059.02378143294
2013-12-26,-1084369.0486532955
2013-12-27,249202.07555034367
2013-12-28,-168257.86449096704
2013-12-29,147112.31317668947
2013-12-30,251671.99162424367
2013-12-31,192398.01720256038
