,Anfang,Ende,RES,EE,Wechsel_EE-RES,Delta_t,Delta_E,LV_kurz,LV_lang,P_kurz,P_lang,Anteil_kurz,Anteil_lang
43,2151,2173,14858.645081122351,-1198405.0712266054,2169,22,-1183546.426145483,14858.645081122351,-1213263.7163077279,675.3929582328342,-55148.35074126036,0.012098668299076578,0.9879013317009234
44,2173,2222,27389.531561996846,-2636963.1313984585,2217,49,-2609573.5998364617,27389.531561996846,-2664352.6629604553,558.9700318774867,-54374.54414205011,0.010175391840174384,0.9898246081598256
45,2222,2244,12329.9221109387,-950584.8033745609,2242,22,-938254.8812636222,12329.9221109387,-962914.7254854996,560.4510050426682,-43768.8511584318,0.012642901595334764,0.9873570984046652
46,2244,2293,6947.386348740307,-3255729.7803906784,2291,49,-3248782.3940419382,6947.386348740307,-3262677.1667394186,141.78339487225116,-66585.24830080447,0.002124826944481593,0.9978751730555184
47,2293,2318,34499.44693629502,-1299609.6201963087,2313,25,-1265110.1732600136,34499.44693629502,-1334109.0671326038,1379.9778774518009,-53364.36268530416,0.025207681072893166,0.9747923189271069
48,2318,2367,50014.15477572476,-2880858.81669451,2360,49,-2830844.6619187854,50014.15477572476,-2930872.971470235,1020.6970362392808,-59813.734111637445,0.016778278632344962,0.9832217213676551
49,2367,2390,48982.53205280975,-550684.3108192831,2384,23,-501701.7787664734,48982.53205280975,-599666.8428720928,2129.6753066439023,-26072.471429221427,0.07551465236281266,0.9244853476371874
50,2390,2414,62897.65282142457,-1409701.1436114463,2408,24,-1346803.4907900216,62897.65282142457,-1472598.796432871,2620.735534226024,-61358.28318470295,0.04096242153602532,0.9590375784639746
51,2414,2439,41087.94158927423,-1480773.8324917105,2433,25,-1439685.8909024363,41087.94158927423,-1521861.7740809848,1643.5176635709693,-60874.47096323939,0.02628871625064021,0.9737112837493598
52,2439,2464,58551.33677588076,-566146.3028248786,2454,25,-507594.9660489978,58551.33677588076,-624697.6396007594,2342.0534710352304,-24987.905584030374,0.08569546212331887,0.9143045378766811
53,2464,2477,280.8241823831613,-605401.3491106963,2476,13,-605120.5249283132,280.8241823831613,-605682.1732930795,21.601860183320102,-46590.93640715996,0.0004634345389951517,0.9995365654610049
54,2477,2489,76897.2813337842,-253.62058616224385,2478,12,76643.66074762195,253.62058616224385,77150.90191994644,21.135048846853653,6429.2418266622035,0.0032765603087626873,0.9967234396912373
55,2489,2500,65737.45971496831,-52212.27595812766,2492,11,13525.183756840648,52212.27595812766,117949.73567309597,4746.57054164797,10722.703243008726,0.3068386149035573,0.6931613850964428
56,2500,2511,59816.91394692554,-37679.839369285255,2503,11,22137.074577640284,37679.839369285255,97496.75331621079,3425.439942662296,8863.341210564617,0.2787452962137591,0.721254703786241
57,2511,2536,73025.6694846151,-1315971.7739385893,2528,25,-1242946.1044539742,73025.6694846151,-1388997.4434232044,2921.0267793846037,-55559.89773692817,0.049948368695330855,0.9500516313046692
58,2536,2559,52094.88234503129,-870497.8997496384,2553,23,-818403.0174046071,52094.88234503129,-922592.7820946696,2264.994884566578,-40112.72965628999,0.05344777024030362,0.9465522297596964
59,2559,2586,190052.78848997998,-339685.9186846909,2566,27,-149633.13019471092,190052.78848997998,-529738.7071746709,7038.992166295555,-19619.952117580404,0.264038669023849,0.735961330976151
60,2586,2596,44156.79996168599,-20069.831621542384,2589,10,24086.968340143605,20069.831621542384,64226.63158322837,2006.9831621542385,6422.663158322837,0.2380862833211552,0.7619137166788448
61,2596,2607,101096.34375328291,-41408.996206317766,2599,11,59687.347546965146,41408.996206317766,142505.33995960068,3764.4542005743424,12955.030905418243,0.22515371596133002,0.77484628403867
62,2607,2631,35582.9515386129,-668998.7945352182,2624,24,-633415.8429966052,35582.9515386129,-704581.7460738311,1482.6229807755374,-29357.572753076296,0.04807437000628799,0.951925629993712
63,2631,2653,590.1069043061543,-849003.8201793891,2651,22,-848413.713275083,590.1069043061543,-849593.9270836952,26.823041104825197,-38617.9057765316,0.0006940931383268984,0.9993059068616732
64,2653,2692,16863.767871633365,-2408127.280253207,2688,39,-2391263.5123815737,16863.767871633365,-2424991.04812484,432.4043044008555,-62179.257644226665,0.006906130438697516,0.9930938695613025
65,2692,2704,100769.07520379475,-26106.083795913153,2694,12,74662.99140788161,26106.083795913153,126875.1589997079,2175.506982992763,10572.929916642324,0.17064891955930964,0.8293510804406904
66,2704,2728,59969.025735737065,-881259.6246659097,2720,24,-821290.5989301726,59969.025735737065,-941228.6504016467,2498.709405655711,-39217.86043340195,0.0598972881829863,0.9401027118170137
67,2728,2750,15812.765137731685,-1021202.2765590044,2745,22,-1005389.5114212728,15812.765137731685,-1037015.0416967361,718.7620517150766,-47137.047349851644,0.015019327030576677,0.9849806729694233
68,2750,2823,36365.655607422086,-3423970.7197517827,2816,73,-3387605.064144361,36365.655607422086,-3460336.3753592046,498.15966585509705,-47401.868155605545,0.010399986983554668,0.9896000130164454
69,2823,2835,2115.095888173749,-362588.875432237,2833,12,-360473.77954406326,2115.095888173749,-364703.9713204107,176.25799068114574,-30391.99761003423,0.005766046744159679,0.9942339532558404
